"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-76.328496698 3.99550924900007)","RÍO FRÍO","Mediacanoa - Ansermanuevo","Mediacanoa - Roldanillo","Norte – Sur  / Sur - Norte","13","600","Por Definir","3102454252","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3873.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2302","12,500","12,100","9,100","3.99550925","-76.3284967","INVIAS","25"
"POINT (-75.7756032779999 5.33243849400003)","SAN CLEMENTE","Vía Cauyá - El Palo","Cauyá - La Felisa","Ambos sentidos de circulación","17","150","Por Definir","3102454264","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3931.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","2508","12,500","12,100","9,100","5.33243849","-75.77560328","INVIAS","5"
"POINT (-72.999481869 6.82563436700002)","LOS CUROS","Aratoca - Bucaramanga","San Gil - Bucaramanga","Aplica en ambos sentidos","53","730","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3817.pdf","12,100","12,900","33,500","41,500","48,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","85","45A07","14,300","14,000","9,800","6.82563437","-72.99948187","INVIAS","22"
"POINT (-73.912827744 5.10439419400006)","CASABLANCA","Cogua – Tausa Km 40+000","Bogotá - Ubaté","Sur – Norte // Norte – Sur","40","0","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3990.pdf","12,100","12,900","33,500","41,500","48,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","81","45A04","14,300","14,000","9,800","5.10439419","-73.91282774","INVIAS","12"
"POINT (-73.5011577779999 5.55768487600005)","SÁCHICA","Vía Chiquinquirá Tunja km 42+800 Jurisdicción Sáchica","Sáchica - Tunja","Ambos sentidos de circulación","50","200","Por Definir","3102455356","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3884.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","4,100","0","0","0","0","4,100","0","0","0","0","0","1","113","6008","12,500","12,100","9,100","5.55768488","-73.50115778","INVIAS","4"
"POINT (-73.477619939 5.79502465700006)","ARCABUCO","Barbosa - Tunja","Barbosa - Tunja","Ambos sentidos de circulación","27","700","Por Definir","3205221387","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3896.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","116","6209","12,500","12,100","9,100","5.79502466","-73.47761994","INVIAS","4"
"POINT (-72.9212520309999 5.63127850700005)","EL CRUCERO","Via Sogamoso Yopal Km 8+900  Jurisdiccion Sogamoso","Sogamoso - El Crucero","Ambos sentidos de circulación","13","150","Por Definir","3102455402-3134819171","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3875.pdf","12,200","13,000","27,900","35,400","39,800","0","0","0","0","0","0","0","0","3,200","0","0","0","0","3,500","0","0","0","0","0","1","117","6211","12,500","12,100","9,100","5.63127851","-72.92125203","INVIAS","4"
"POINT (-73.0803086669999 6.61769608900005)","CURITÍ","San Gil - Aratoca","San Gil - Bucaramanga","Ambos sentidos","11","320","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3986.pdf","12,100","12,900","33,500","41,500","48,600","0","0","0","0","0","0","0","0","9,100","0","0","0","0","0","0","0","0","0","0","1","84","45A07","14,300","14,000","9,800","6.61769609","-73.08030867","INVIAS","22"
"POINT (-73.333289569 6.17823641900003)","OIBA","Vía Puente Nacional – San Gil Km 62+950","Puente Nacional - San Gil","NORESTE- SUROCCIDENTE","63","0","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3839.pdf","12,100","12,900","33,500","41,500","48,600","0","0","0","0","0","0","0","0","1,300","0","0","0","0","1,300","0","0","0","0","0","1","83","45A06","14,300","14,000","9,800","6.17823642","-73.33328957","INVIAS","22"
"POINT (-75.243039628 6.12460709800007)","COCORNÁ","KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo","El Santuario - Cruce Ruta 45 (Caño Alegre)","Sur – Norte","3","95","(322 384 5814) este número también sirve para solicitar ambulancia","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3861.pdf","17,900","27,900","24,400","30,300","60,600","86,200","86,200","0","0","0","0","0","0","1,700","0","0","0","0","1,700","1,700","1,700","0","0","0","1","111","6005","0","0","0","6.1246071","-75.24303963","INVIAS","1"
