id,nombre,nombre_display,lat,lon,ubicacion,sector,sentido,pr,distancia_pr_m,telefono_grua,telefono_peaje,url_ficha,tarifa_cat1,operador,operador_tipo,codigo_peaje,codigo_tramo,territorial
rio-frio,RÍO FRÍO,RÍO FRÍO,3.99550924900007,-76.328496698,Mediacanoa - Ansermanuevo,Mediacanoa - Roldanillo,Norte – Sur / Sur - Norte,13,600,,3102454252,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3873.pdf,12200,INVIAS,INVIAS,4,2302,25
san-clemente,SAN CLEMENTE,SAN CLEMENTE,5.33243849400003,-75.7756032779999,Vía Cauyá - El Palo,Cauyá - La Felisa,Ambos sentidos de circulación,17,150,,3102454264,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3931.pdf,12200,INVIAS,INVIAS,21,2508,5
los-curos,LOS CUROS,LOS CUROS,6.82563436700002,-72.999481869,Aratoca - Bucaramanga,San Gil - Bucaramanga,Aplica en ambos sentidos,53,730,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3817.pdf,12100,INVIAS,INVIAS,85,45A07,22
casablanca,CASABLANCA,CASABLANCA,5.10439419400006,-73.912827744,Cogua – Tausa Km 40+000,Bogotá - Ubaté,Sur – Norte // Norte – Sur,40,0,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3990.pdf,12100,INVIAS,INVIAS,81,45A04,12
sachica,SÁCHICA,SÁCHICA,5.55768487600005,-73.5011577779999,Vía Chiquinquirá Tunja km 42+800 Jurisdicción Sáchica,Sáchica - Tunja,Ambos sentidos de circulación,50,200,,3102455356,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3884.pdf,12200,INVIAS,INVIAS,113,6008,4
arcabuco,ARCABUCO,ARCABUCO,5.79502465700006,-73.477619939,Barbosa - Tunja,Barbosa - Tunja,Ambos sentidos de circulación,27,700,,3205221387,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3896.pdf,12200,INVIAS,INVIAS,116,6209,4
el-crucero,EL CRUCERO,EL CRUCERO,5.63127850700005,-72.9212520309999,Via Sogamoso Yopal Km 8+900 Jurisdiccion Sogamoso,Sogamoso - El Crucero,Ambos sentidos de circulación,13,150,,3102455402-3134819171,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3875.pdf,12200,INVIAS,INVIAS,117,6211,4
curiti,CURITÍ,CURITÍ,6.61769608900005,-73.0803086669999,San Gil - Aratoca,San Gil - Bucaramanga,Ambos sentidos,11,320,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3986.pdf,12100,INVIAS,INVIAS,84,45A07,22
oiba,OIBA,OIBA,6.17823641900003,-73.333289569,Vía Puente Nacional – San Gil Km 62+950,Puente Nacional - San Gil,NORESTE- SUROCCIDENTE,63,0,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3839.pdf,12100,INVIAS,INVIAS,83,45A06,22
cocorna,COCORNÁ,COCORNÁ,6.12460709800007,-75.243039628,KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,El Santuario - Cruce Ruta 45 (Caño Alegre),Sur – Norte,3,95,(322 384 5814) este número también sirve para solicitar ambulancia,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3861.pdf,17900,INVIAS,INVIAS,111,6005,1
puerto-triunfo,PUERTO TRIUNFO,PUERTO TRIUNFO,5.87259891400004,-74.611395406,KM 130+100 RUTA 6005 Autopista Medellin - Bogota,Santuario - Cruce Ruta 45 (Caño Alegre),Sur – Norte,130,100,322 384 5814,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3808.pdf,17900,INVIAS,INVIAS,112,6005,1
saboya,SABOYÁ,SABOYÁ,5.72786479600006,-73.744665879,Vía Ubate Puente Nacional Km 66+200 Jurisdicción Saboyá,Ubaté - Puente Nacional,Ambos sentidos de circulación,66,500,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3953.pdf,12100,INVIAS,INVIAS,82,45A05,4
bicentenario,BICENTENARIO,BICENTENARIO,5.20310293600005,-74.6846173499999,Villeta - Puerto Salgar,Honda - Villeta,Ambos sentido de circulación,7,975,,3232059073,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3847.pdf,13000,INVIAS,INVIAS,94,5008,12
el-placer,EL PLACER,EL PLACER,1.06457300000005,-77.428397,"Carretera Panamericana, límite Tangua / Yacuanquer, PR 49+560",Rumichaca - Pasto,,49,560,"Móvil1: 3174275839 - atiende los municipios Ipiales - Contadero e Iles Móvil 2: 3174042366 - atiende a los Municipios de Imués - Yacuanquer - Tangua y Pasto","3173682092 – 3173310921",http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,19900,Concesionaria Vial Unión del Sur,Concesión,9,2501,28
zaragoza,ZARAGOZA,ZARAGOZA,7.63328800000005,-74.8947039999999,Antioquia - Zaragoza,Autopista Conexión Norte,,21,310,,,,15900,,Por definir,,25AN17,28
cerritos-ii,CERRITOS II,CERRITOS II,4.79340820900006,-75.859962863,Vía Andalucía – Y de Cerritos PR2506 Km 86,La Victoria - Cartago - Cerritos,Sur – Norte,85,867,,3128509233 - 3113042754 - 3132158,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,15200,Concesionaria de Occidente,Concesión,18,2506,21
toro,TORO,TORO,4.66542497700004,-76.049532448,Mediacanoa - Ansermanuevo,Roldanillo - La Virginia,Sur - Norte // Norte - Sur,106,0,,3102454238,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3872.pdf,12200,INVIAS,INVIAS,5,2302,25
cano,CANO,CANO,1.42545608200004,-77.284452436,San Juan de Pasto - Cano,Pasto - Mojarras,Norte – Sur,36,0,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3862.pdf,14800,INVIAS,INVIAS,10,2502,17
el-bordo,EL BORDO,EL BORDO,2.18894946000006,-76.851164685,Kilometro 60+800 Vía Panamericana Mojarras – Popayan,Mojarras - Popayán,Sur – Norte // Norte – Sur,61,300,,3112363938 / 2800138,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3975.pdf,12400,INVIAS,INVIAS,11,2503,8
la-parada,LA PARADA,LA PARADA,7.86745647200007,-72.484164639,Km. 2 de la Autopista Internacional que comunica a Cúcuta con San Antonio,Cúcuta - Puente Internacional Simón Bolívar,Sentido San Antonio (Venezuela) - Cúcuta,1,792,320 345 2139,3104946611,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,2700,INVIAS,INVIAS,129,7010,18
platanal,PLATANAL,PLATANAL,8.23123833000005,-73.4985723359999,Km 14 Vía Aguasclaras – Ocaña,Aguaclara - Río de Oro,Sur – Norte Ambos sentidos,14,200,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3915.pdf,11800,INVIAS,INVIAS,128,7007,26
rio-blanco,RÍO BLANCO,RÍO BLANCO,7.63281900600003,-73.263641967,Rio Negro – San Alberto,Río Negro - San Alberto,Norte – Sur,62,960,,3124570764,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3823.pdf,12400,INVIAS,INVIAS,86,45A08,22
los-llanos,LOS LLANOS,LOS LLANOS,6.83050248100005,-75.468140396,KM 03+450 RUTA 2511 - vía Medellin - La Costa,Los Llanos - Tarazá,Norte - Sur,3,500,(322 384 5814) este número también sirve para solicitar ambulancia,3102462831,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3848.pdf,12400,INVIAS,INVIAS,26,2511,1
taraza,TARAZÁ,TARAZÁ,7.58927623200003,-75.393524024,KM 01+200 RUTA 2512 - Via Medellin - La Costa,Tarazá - Caucasia,Sur – Norte,1,300,(322 384 5814) este número también sirve para solicitar ambulancia,3102463888,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3838.pdf,12400,INVIAS,INVIAS,27,2512,1
carimagua,CARIMAGUA,CARIMAGUA,8.60485611200005,-75.484821096,Vía Planeta Rica - Sincelejo Km 26 + 300,Planeta Rica - La Ye,Sur – Norte,26,300,,3102467110 - 3205221762,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3821.pdf,17700,INVIAS,INVIAS,30,2514,11
rincon-hondo,RINCÓN HONDO,RINCÓN HONDO,9.43103200100006,-73.473552148,Tramo que cubre:Vía Rincón Hondo - Agustín Codazzi,San Roque - La Paz,Aplica en ambos sentidos de circulación,17,600,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3964.pdf,14000,INVIAS,INVIAS,87,4901,9
san-diego,SAN DIEGO,SAN DIEGO,10.1217258250001,-73.238637775,Tramo que cubre:Vía Aguztín Codazzi - San Diego,San Roque - La Paz,Aplica en ambos sentidos de circulación,105,250,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3889.pdf,7000,INVIAS,INVIAS,88,4901,9
san-juan,SAN JUAN,SAN JUAN,10.8000159330001,-72.9755403249999,Ubicación: 61+400Tramo que cubre:Vía La Paz – Distracción,Río Pereira - Buenavista,Aplica en ambos sentido de circulación,61,400,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3981.pdf,,INVIAS,INVIAS,89,4902,13
supia,SUPIA,SUPIA,5.54052600000006,-75.570252,,Autopista Conexión Pacífico 3,,81,510,,,,10500,,Por definir,,2508,28
guaico,GUAICO,GUAICO,5.10591700000003,-75.760278,,,,0,0,,,,21000,,Por definir,150,,28
armero,ARMERO,ARMERO,4.95835200000005,-74.9144259999999,Vía San Gil - Bucaramanga Km 53+730 Jurisdicción Municipio de Piedecuesta,San Gil - Bucaramanga,,0,0,,,,13700,,Por definir,108,0,28
irra,IRRA,IRRA,5.25773200000003,-75.657461,,,,36,710,,,,14600,,Por definir,42,2903,28
galapa-02,GALAPA 02,GALAPA 02,10.8821750000001,-74.8370609899999,,,,11,720,,,,8300,,Por definir,36,25AT04,28
cocora,COCORA,COCORA,4.40574700000008,-75.2855,,,,0,0,,,,14200,,Por definir,151,,28
la-lizama,LA LIZAMA,LA LIZAMA,7.08351700000003,-73.717392,La Lizama,Barrancabermeja - La Lizama ubicación km 4,Barrancabermeja - La Lizama (Aplica en ambos sentidos),4,0,3103910901 - (57) 685 4666,,,16700,Ruta del Cacao,Concesión,123,4513,22
cirilo,CIRILO,CIRILO,8.21002779000003,-76.744136536,Vía turbo - Necoclí,Vía Turbo - Necoclí,Norte - Sur. Sur - Norte,18,70,3105553979 // #979,3105553979 // #979,,12100,Concesión Autopistas Urabá,Concesión,134,9001,1
juan-mina,JUAN MINA,JUAN MINA,10.9343822760001,-74.898251187,Vía La Cordialidad - Galapa,Vía Juan Mina - Las Hermanas,Norte - Sur. Sur - Norte,"24,200",0,311 4803629,018000977330,,8300,Concesión Costera - Barranquilla - Cartagena,Concesión,37,25AT04,2
sopo,SOPÓ,SOPÓ,4.84165600000006,-73.9360839999999,El Salitre - Sopó,Meusa,Sur - Norte,2,0,310 2399451 - #765,313 4609939,,12300,PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S,Concesión,100,50 CN 03,12
brisas,BRISAS,BRISAS,5.45854500000007,-74.6397259999999,Vía Mediacanoa - Ansermanuevo Km 13,Mediacanoa - Ansermanuevo,(Aplica en ambos sentidos),7,0,3219738507,3219738507,,6400,Concesión Alto Magdalena,Concesión,63,4510,28
lebrija,LEBRIJA,LEBRIJA,7.10312711700004,-73.188611598,Vía Fortuna - Bucaramanga Km 65+500 Jurisdicción del municipuio de Lebrija,Lebrija - Palenque,Sur - Norte,64,362,,3188884392,,7200,FINDETER,Concesión,125,6602,22
rionegro,RÍONEGRO,RÍONEGRO,7.24326752600007,-73.149403777,Vía Bucaramanga - Rionegro Km 13,La cemento - Rionegro,Norte - Sur,13,100,,6569259,,7200,FINDETER,Concesión,157,45A08,22
san-carlos,SAN CARLOS,SAN CARLOS,8.70998500000007,-75.716599,Vía Montería - San Carlos ubicado sobre el Km - 9+700,Monteria - San Carlos,Aplica en ambos sentidos,9,300,3216177100,,,15800,Concesión Ruta al Mar,Concesión,73,3306,11
guataqui,GUATAQUÍ,GUATAQUÍ,4.56443500000006,-74.797319,Km 3 Ruta 45,Tramo que cubre la via Guataquí - Cambao - Honda,Aplica en ambos sentidos,3,0,3219738507,3219738507,,12800,Concesión Alto Magdalena,Concesión,69,4508,12
rozo,ROZO,ROZO,3.64389600000004,-76.381091,Vía Palmaseca - Cerrito Km 17,Palmaseca - El Cerrito,Norte – Sur,0,0,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/6004.pdf,11000,,Por definir,17,2505B,25
villarica,VILLARICA,VILLARICA,3.15127600000005,-76.460045,Kilometro 91 Vía Panamericana Jurisdicción del Municipio de Villa Rica,Popayán - Jamundí,Sur – Norte // Norte – Sur,89,"1,314",,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5607.pdf,11000,,Por definir,12,2504,8
mediacanoa,MEDIACANOA,MEDIACANOA,3.75991200000004,-76.411322,Vía Cali – Mediacanoa Km 36+600,Yumbo - Mediacanoa,Sur - Norte // Norte - Sur,51,848,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5606.pdf,11000,CONCESION ANI,Concesión,3,2301,25
cerrito,CERRITO,CERRITO,3.71302200000002,-76.31918,Vía Cali - Andalucia Km 43+200,Cali - Palmira - Buga,Sur - Norte // Norte - Sur,44,893,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5605.pdf,11000,CONCESION ANI,Concesión,16,2505,25
cencar,CENCAR,CENCAR,3.55733700000008,-76.462683,Vía Yumbo – Aeropuerto Km 2+950,Cali - Yumbo,Sur - Norte // Norte - Sur,0,0,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5604.pdf,11000,CONCESION ANI,Concesión,7,2301,25
paso-de-la-torre,PASO DE LA TORRE,PASO DE LA TORRE,3.62760200000002,-76.4576509999999,Vía Vijes – Rozo Km 1+500,Paso de La Torre - Siberia (Variante Yumbo),Sur - Norte,26,221,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5205.pdf,11000,,Por definir,8,23VL02,25
ciat,CIAT,CIAT,3.52344900000003,-76.3432789999999,Vía Cali – Andalucía Km 17+300,Cali - Palmira - Buga,Norte – Sur,16,344,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5204.pdf,11100,CONCESION ANI,Concesión,15,2505,25
tunia-siniestrada,TUNIA (SINIESTRADA),TUNIA (SINIESTRADA),2.70169011300004,-76.536811321,Kilometro 31+100 Vía Panamericana Popayan – Cali,Popayán - Jamundí,Sur – Norte // Norte – Sur,30,"1,053",,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4805.pdf,,INVIAS,INVIAS,13,2504,8
estambul,ESTAMBUL,ESTAMBUL,3.50073900000007,-76.4430649999999,Vía Cali – Andalucía Km 5,Cali - Palmira - Buga,Sur - Norte,4,954,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4804.pdf,11100,CONCESION ANI,Concesión,14,2505,25
corredor-portuario,CORREDOR PORTUARIO,CORREDOR PORTUARIO,10.957823864,-74.766759404,,Calle 6,,0,0,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,6400,,Por definir,178,,2
pasacaballos,PASACABALLOS,PASACABALLOS,10.2445070000001,-75.445772,Variante de Gambote,Variante de Gambote,Sur - Norte // Norte - Sur,17,240,321 205 72 27,,,11400,AUTOPISTAS DEL SOL S.A.,Concesión,149,90BLB,3
los-garzones-2,LOS GARZONES 2,LOS GARZONES 2,8.82778300000007,-75.836761,Vía Monteria - Lorica Km. 1 más 320 metros,Montería - Cereté,GARZONES 2 NORTE - SUR.,6,130,3184095455 – 3182406622,3124964386,,6100,INVIAS,INVIAS,135,2103,11
naranjal,NARANJAL,NARANJAL,4.27987200000007,-73.834808,Caqueza – Guayabetal Km 44+700,Bogotá (El Portal) - Villavicencio,Occidente – Oriente // Oriente – Occidente,50,166,3123060332 - 3105851322 -3105851325 y #713,3144360298 // 3123060332 - 3105851322,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,14100,COVIANDINA S.A.S.,Concesión,57,4006,12
