Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
RÍO FRÍO,3.99550924900007,-76.328496698,INVIAS,INVIAS,Mediacanoa - Ansermanuevo,Mediacanoa - Roldanillo,$12.200,$13.000,$27.900,25,3102454252,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3873.pdf
SAN CLEMENTE,5.33243849400003,-75.7756032779999,INVIAS,INVIAS,Vía Cauyá - El Palo,Cauyá - La Felisa,$12.200,$13.000,$27.900,5,3102454264,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3931.pdf
LOS CUROS,6.82563436700002,-72.999481869,INVIAS,INVIAS,Aratoca - Bucaramanga,San Gil - Bucaramanga,$12.100,$12.900,$33.500,22,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3817.pdf
CASABLANCA,5.10439419400006,-73.912827744,INVIAS,INVIAS,Cogua – Tausa Km 40+000,Bogotá - Ubaté,$12.100,$12.900,$33.500,12,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3990.pdf
SÁCHICA,5.55768487600005,-73.5011577779999,INVIAS,INVIAS,Vía Chiquinquirá Tunja km 42+800 Jurisdicción Sáchica,Sáchica - Tunja,$12.200,$13.000,$27.900,4,3102455356,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3884.pdf
ARCABUCO,5.79502465700006,-73.477619939,INVIAS,INVIAS,Barbosa - Tunja,Barbosa - Tunja,$12.200,$13.000,$27.900,4,3205221387,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3896.pdf
EL CRUCERO,5.63127850700005,-72.9212520309999,INVIAS,INVIAS,Via Sogamoso Yopal Km 8+900 Jurisdiccion Sogamoso,Sogamoso - El Crucero,$12.200,$13.000,$27.900,4,3102455402-3134819171,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3875.pdf
CURITÍ,6.61769608900005,-73.0803086669999,INVIAS,INVIAS,San Gil - Aratoca,San Gil - Bucaramanga,$12.100,$12.900,$33.500,22,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3986.pdf
OIBA,6.17823641900003,-73.333289569,INVIAS,INVIAS,Vía Puente Nacional – San Gil Km 62+950,Puente Nacional - San Gil,$12.100,$12.900,$33.500,22,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3839.pdf
COCORNÁ,6.12460709800007,-75.243039628,INVIAS,INVIAS,KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,El Santuario - Cruce Ruta 45 (Caño Alegre),$17.900,$27.900,$24.400,1,,(322 384 5814) este número también sirve para solicitar ambulancia,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3861.pdf
PUERTO TRIUNFO,5.87259891400004,-74.611395406,INVIAS,INVIAS,KM 130+100 RUTA 6005 Autopista Medellin - Bogota,Santuario - Cruce Ruta 45 (Caño Alegre),$17.900,$27.900,$24.400,1,,322 384 5814,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3808.pdf
SABOYÁ,5.72786479600006,-73.744665879,INVIAS,INVIAS,Vía Ubate Puente Nacional Km 66+200 Jurisdicción Saboyá,Ubaté - Puente Nacional,$12.100,$12.900,$33.500,4,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3953.pdf
BICENTENARIO,5.20310293600005,-74.6846173499999,INVIAS,INVIAS,Villeta - Puerto Salgar,Honda - Villeta,$13.000,$17.000,$39.600,12,3232059073,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3847.pdf
EL PLACER,1.06457300000005,-77.428397,No definido,Por definir,Nariño - Tangua,Rumichaca - Pasto,$14.200,$17.200,$33.600,28,,,
